163.2,177.8,137.4,37
163.2,178,137.6,37
162.8,177.6,137,37
163.2,177.6,137.2,37
163,178,137.2,36.8
163,177.8,137.4,37
157.2,170,130,35
157.4,170.2,130.2,35.2
157.6,170.4,130.8,35.2
157.6,170.2,130.4,35.2
158,170.2,130.4,35.2
157.2,169.8,130,35.6
157.4,170.2,130.4,35.4
157,168.8,125.4,35
163,175.8,133.6,37
163,176,133.6,37
163.2,175.8,133.6,37
163.2,176.2,133.6,37
163,176.2,133.8,37
162.8,176.2,133.6,37
163,175.8,133.4,37
157.8,170.2,130,35.6
158.2,170.4,130.4,35.4
158,170.2,130,35.8
158,170.4,130.2,35.4
158.4,170.6,130.2,35.4
161,172.2,132,36.4
