131.4,151.8,104,30
131.8,151.8,104,29.8
137,162.2,111,31
137,162.4,110.8,31
136.8,161.6,110.8,31
136.8,162.2,110.6,31
125.2,145.8,97.2,28
125.6,146.8,97.8,28
125.8,147.4,97.8,28.2
105.4,125,87.6,24
105.6,125.4,87.2,23.8
105.6,125.6,87,24
137.4,163.8,113.2,31
137,163.4,112.8,31
137.8,163.4,113.6,31
137.4,163.8,113.4,31
160.8,185.2,131.4,36
160.6,185.4,131.4,36
152.6,179.8,124,34.8
153.4,180,124.8,34.6
152.8,179.8,124.4,34.6
152.8,179.6,123.8,34.6
146.8,173.2,115.2,33
147.2,173,115.4,33
146.6,173,114.6,33
146.8,173.2,114.6,33
