86.8,19.8,14.6,19.2
86.6,19.8,14.4,19.2
86.4,19.8,14.2,19.4
86.2,19.6,14,19.6
96.8,21.8,15.6,22
78,19.2,13.6,17.2
78.2,19.4,13.6,17.2
78.4,19.8,13.8,17
78.2,19.4,13.6,17
76,19.2,13.6,17
75.8,19.2,13.4,17
75.4,19.2,13.2,17
75.8,19.6,13.8,17
75.4,19.6,14,17
75.6,19.4,14.4,17
69,17.6,12.8,15
69,17.2,12.8,15
69,17.2,12.2,15
69,17.4,12.8,15
71.8,19,13.4,16
76.8,19.4,14.2,17
76.2,19.2,14.2,17
85.8,19.8,14.8,19
86,19.6,14.6,19
85.6,18.8,14.2,19
86.2,19.6,14.6,19
74.6,19.2,14.2,17
74.2,19.4,14.2,17
74.6,19.4,14.4,17
74.4,19.4,14.2,17
91.8,21.4,14.8,20.6
91.4,21.6,15,20.8
92,21.6,15.2,20.8
91.8,21.6,14.8,20.8
73,19.2,13,16.2
73.2,19.4,13,16.4
73.4,19.4,13,16
